time,PQ,Wat1,Wat2,Wat3,Virtual_meter,Total_4meters,PQ_e,Wat1_e,Wat2_e,Wat3_e,Tot_kwh
11/1/2017,125.5448147,381.344547,35.99622188,67.05397199,557.3525141,609.9395556,65261.50918,182123.3965,11819.31934,27083.49404,286287.7191
12/1/2017,186.6291611,387.5325132,41.62227236,69.67498895,616.0494862,685.4589355,95152.18907,184940.658,13725.97419,26713.96904,320532.7903
1/1/2018,234.7870969,398.8909362,50.07390844,101.1950531,731.5048075,784.9469946,116547.2549,212926.3337,19641.7304,38388.63376,387503.9528
2/1/2018,171.4071024,394.3891747,23.76847654,78.43215431,621.1606795,667.9969079,83385.44158,186974.9629,9131.948176,33394.79635,312887.149
3/1/2018,137.462548,395.0152337,22.20831871,72.40956933,580.9047957,627.0956697,76515.52331,204100.94,7508.77057,33946.84128,322072.0752
4/1/2018,125.4860748,386.6605327,17.73084351,69.66922942,555.9540285,599.5466805,57602.74296,190551.4474,6286.281091,27590.95704,282031.4285
5/1/2018,85.32865722,383.4605437,13.11798247,57.87004188,484.5056003,539.7772253,37917.81505,191367.3777,4761.984619,9486.92467,243534.102
6/1/2018,59.86305782,383.7441004,19.8518286,13.395066,446.3060014,476.8540529,30681.32164,192276.411,6038.669217,6093.628685,235090.0306
7/1/2018,69.34719578,377.531308,30.46477879,14.90673212,425.2867142,492.2500147,26367.35254,168911.9533,7087.641476,6439.108969,208806.0563
8/1/2018,60.91350615,337.8738583,30.95306561,13.23152316,413.9372646,442.9719532,28497.08494,167042.7623,7911.378068,7307.789767,210759.0151
9/1/2018,65.10259809,383.4476761,19.70513054,13.2269834,449.0502321,481.4823881,31703.5123,189579.1212,5546.246005,6299.554743,233128.4342
10/1/2018,67.89512416,378.9064602,17.8781654,14.82969559,435.9014074,479.5094453,27235.70665,173013.559,6758.11687,6248.397698,213255.7802
11/1/2018,101.4684969,381.1515491,30.91008533,54.97767593,531.3066051,568.5078072,28572.60142,162802.5096,7708.774748,7833.516895,206917.4027
12/1/2018,112.4674731,391.4290213,19.4352999,76.88366822,550.7946514,600.2154625,65550.05175,219627.3357,7432.864687,38238.96257,330849.2147
1/1/2019,120.3543095,385.7520941,18.48160975,78.70597148,562.3622005,603.2939848,65456.14586,210521.092,7532.901201,35638.56573,319148.7048
2/1/2019,114.2658928,385.3086461,20.36147588,89.38514274,543.8948794,609.3211575,56772.87628,192853.9803,6834.151207,26982.19274,283443.2005
3/1/2019,107.1048497,376.953157,17.72562765,52.29556267,514.2957479,554.0791971,56823.5725,204323.0272,6636.843032,21962.68946,289746.1322
4/1/2019,131.3324661,370.4149454,17.2824147,85.93546051,559.8530807,604.9652867,20166.88039,73514.67583,2263.347755,8108.050498,104052.9545
