PQ,Wat1,Wat2,Wat3,year,month,index
75472.1174504,364.714098841,14.1169668464,30.068015162,2017,11,0
73080.5837932,354.868618042,14.5066307071,24.9020070329,2017,11,1
76184.6220552,365.222931797,13.6846043759,26.1391363432,2017,11,2
78641.5752079,237.630452118,13.0487339406,27.9437861838,2017,11,3
75377.5379518,113.640956941,14.1795578981,24.9903135358,2017,11,4
75071.4564611,113.582793919,20.4511690318,33.9905730423,2017,11,5
70013.1675567,113.535956973,15.9551362898,22.0207702781,2017,11,6
67080.2640587,127.973041784,13.2005616969,35.9799933679,2017,11,7
69749.4070623,353.996402877,12.9187474649,20.204787115,2017,11,8
67862.7912375,353.702914152,13.4798159989,33.1198743814,2017,11,9
73322.8690769,353.635914487,14.216399051,28.7845233643,2017,11,10
77742.2787381,300.10665509,13.9443373449,23.9156035301,2017,11,11
77992.5750281,114.177307841,14.3312509312,25.6581654647,2017,11,12
76366.9017242,113.949008784,14.2837936671,29.7859047359,2017,11,13
72808.988468,349.953445504,17.2600645694,30.7253141481,2017,11,14
78360.2531681,281.699285251,16.5182877451,24.9594910578,2017,11,15
76434.7873371,193.521399518,13.9995397779,28.6766251962,2017,11,16
72914.5750933,113.713141113,12.6965724764,26.9096086289,2017,11,17
77404.242395,242.917822897,12.9117986864,28.5438857012,2017,11,18
79480.9363241,177.586444066,13.1422158893,25.0596576496,2017,11,19
70413.0695872,113.670191673,12.7286295269,34.0773081154,2017,11,20
67359.1838882,113.557593589,13.7146034484,23.8275975864,2017,11,21
68687.9731088,129.538792053,14.5577750569,33.8971969907,2017,11,22
68087.444184,366.755164225,16.631034563,22.1025734905,2017,11,23
75425.4917922,352.221921193,19.0193268506,30.4780984193,2017,11,24
72252.5327481,347.290184833,13.9558334373,25.3436169385,2017,11,25
73020.3285321,111.707736264,13.209351233,29.9870138575,2017,11,26
72454.9302705,114.046795942,13.0984168646,28.0382168806,2017,11,27
73652.0321888,308.000364054,13.1009596008,25.5253316722,2017,11,28
74316.0295701,113.761372408,14.1455183386,38.8181256942,2017,11,29
82084.8211979,249.456207955,14.6111586119,21.5923745052,2017,11,30
78803.6913677,257.783059957,13.2962278635,33.9076165706,2017,11,31
