date,15m_indx,Wat1,Wat2,Wat3,PQ
11/1/2017,0,364.6,13.7,25.6,76.2
11/1/2017,1,357.8,14.6,31.1,73.2
11/1/2017,2,341.5,13,25,77.7
11/1/2017,3,113.5,14.5,26.9,76
11/1/2017,4,113.6,19,29,74.2
11/1/2017,5,142.6,13.5,33,67.1
11/1/2017,6,353.8,13,23.1,68.7
11/1/2017,7,353.7,14.4,27,72.3
11/1/2017,8,219.5,14.3,28.9,78.5
11/1/2017,9,127.1,14.3,29.1,75.8
11/1/2017,10,306.1,18.3,24.7,74.8
11/1/2017,11,231.6,13.5,31.3,76.9
11/1/2017,12,133.6,12.7,28.6,74.3
11/1/2017,13,222.3,13.1,25.4,79
11/1/2017,14,113.7,13.1,28.7,68.8
11/1/2017,15,140.3,14.4,28.9,68.7
11/1/2017,16,356.9,18.6,25.3,70.2
11/1/2017,17,342.1,14.6,28.9,74
11/1/2017,18,113.4,13.3,30.6,72.9
11/1/2017,19,243.4,13.2,25.2,73.7
11/1/2017,20,134.9,14.6,30.3,78.3
11/1/2017,21,290.3,13.7,30.9,78.3
11/1/2017,22,320.6,18,30.9,72.1
11/1/2017,23,178.8,15.5,25,74.4
11/1/2017,24,178,13.8,25.3,77.7
11/1/2017,25,113.7,13.5,34.4,67.8
11/1/2017,26,278.9,13.5,24.6,64.5
11/1/2017,27,366,14.1,31,69.9
11/1/2017,28,351.3,16.7,23,77.5
11/1/2017,29,358.8,20.5,33,75.5
11/1/2017,30,290,16,30.5,74.2
11/1/2017,31,113.9,17.2,27,80.1
11/1/2017,32,113.7,18.2,29.2,78.8
11/1/2017,33,113.6,18.4,33,81.6
11/1/2017,34,275.8,18.2,31.7,78.4
11/1/2017,35,210.1,23.1,27.8,78.4
11/1/2017,36,227.7,19.4,35.5,73.1
11/1/2017,37,336.3,18.6,27.9,76.8
11/1/2017,38,166.4,18.6,31.7,76.5
11/1/2017,39,113.8,17.6,30.1,83.7
11/1/2017,40,113.6,18,30,87.1
11/1/2017,41,113,18,30,89.4
11/1/2017,69,279,22.9,25.6,73
11/1/2017,70,279.3,20.8,30.7,72
11/1/2017,71,279.3,19.9,30,71
11/1/2017,72,279.5,20.8,28.5,69.1
11/1/2017,73,279.7,26.3,32.5,68.7
11/1/2017,74,279.6,23.1,30,68.2
11/1/2017,75,280,21.5,28.5,72.4
11/1/2017,76,280,20.3,26.4,74.1
11/1/2017,77,280,19.3,30.7,75.5
11/1/2017,78,280.1,20.2,34,72.9
11/1/2017,79,280.3,24.7,30.6,74.2
11/1/2017,80,280.5,20.5,26.3,80.7
11/1/2017,81,280.5,20.6,35.5,78
11/1/2017,82,280.5,20.5,30.9,73.1
11/1/2017,83,280.4,19.5,33,74.9
11/1/2017,84,280.3,24.7,28.3,72.2
11/1/2017,85,280.5,22.3,33.4,72
11/1/2017,86,280.3,19.5,34.4,68.5
11/1/2017,87,279.7,20.6,28.7,75.4
11/1/2017,88,280.1,20.5,29.1,79.2
11/1/2017,89,280.1,21.9,35,78.4
11/1/2017,90,280.1,23.9,28.9,76.6
11/1/2017,91,218.7,19.8,34.5,80
11/1/2017,92,290.8,20,26.9,81.5
11/1/2017,93,224.6,20.8,29,76.2
11/1/2017,94,113.2,20.8,29.6,79.2
11/1/2017,95,158.3,25.8,38.7,79.3
11/1/2017,96,170,22.4,13,82.7
11/2/2017,0,367.3,20.4,42.1,78.4
11/2/2017,1,357.5,20.3,28.4,77.1
11/2/2017,2,289.9,19.2,30.9,76.6
11/2/2017,3,113.1,19.5,28.8,79.3
11/2/2017,4,182,21.8,31.1,73.8
11/2/2017,5,354.5,24,35.4,71
11/2/2017,6,355.1,21.7,25.3,71.9
11/2/2017,7,259.9,20.7,42.1,81
11/2/2017,8,209.5,20.3,15.9,76.4
11/2/2017,9,113.4,19.8,60.8,80.6
11/2/2017,10,113.1,24.6,16.5,78.8
11/2/2017,11,306.2,19.5,27.9,77.7
11/2/2017,12,266.6,19.1,25.1,78.9
11/2/2017,13,113.1,20.4,33,77.2
11/2/2017,14,113,20.6,33,83.3
11/2/2017,15,193.2,26.1,28.9,81.3
11/2/2017,16,359.4,22.4,24.5,74.4
11/2/2017,17,286.9,19.5,43,69.5
11/2/2017,18,308.2,19.2,25.2,73.9
11/2/2017,19,176.6,19.4,28.5,77.3
11/2/2017,20,186.9,21.7,35.2,76.7
11/2/2017,21,183.8,24.2,21.5,79.8
11/2/2017,22,113.2,20.7,34.8,77.7
11/2/2017,23,235.2,20.4,32.4,77.5
11/2/2017,24,254.9,20.7,31,78.5
11/2/2017,25,175.6,23.5,30.6,84.6
11/2/2017,26,354.3,28.4,26.7,78.9
11/2/2017,27,357.6,23.4,32.4,75.1
11/2/2017,28,365.7,23.8,26.9,81
11/2/2017,29,310.8,24.7,38.3,80.9
11/2/2017,30,174.4,24.8,25.6,78
11/2/2017,31,295.1,26.8,32.8,74.1
11/2/2017,32,113.6,27.5,30.1,74.7
11/2/2017,33,299.7,23.8,34.9,76.1
11/2/2017,34,290.7,25,26.7,81.3
11/2/2017,35,355.2,24.7,30.9,88.4
11/2/2017,36,146.6,24.4,31.6,85.5
11/2/2017,37,145.9,28.8,28.7,82.7
11/2/2017,38,233.4,27.3,29.1,84.6
11/2/2017,39,113.3,25.3,35.2,84.3
11/2/2017,40,202.3,24.1,27.3,89.2
11/2/2017,41,260.1,24.3,28.7,80.9
11/2/2017,42,284.2,24,28.2,79.6
11/2/2017,43,353.4,29.8,31.5,78.8
11/2/2017,44,196.8,26.6,29.9,78.3
11/2/2017,45,253.3,25.8,28.1,81.3
11/2/2017,46,279.9,25.3,30,82.8
11/2/2017,47,279.6,24.5,30.7,82.7
